idJurisdicao,nome,ativo,idOrgaoPje,id,table
213,"4º Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Parnamirim",True,315,1164,orgao_julgador
213,"Vara da Infância, da Juventude e do Idoso da Comarca de Parnamirim",True,316,1165,orgao_julgador
209,Vara da Infância e Juventude da Comarca de Mossoró,True,317,1166,orgao_julgador
198,CEJUSC JARDIM DE PIRANHAS,False,318,1167,orgao_julgador
241,1º Vara da Infância e Juventude da Comarca de Natal,True,319,1168,orgao_julgador
241,2º Vara da Infância e Juventude da Comarca de Natal,True,320,1169,orgao_julgador
241,3º Vara da Infância e Juventude da Comarca de Natal,True,321,1170,orgao_julgador
243,Plantão Diurno Cível Região I,True,322,1171,orgao_julgador
243,Plantão Diurno Cível e Criminal Região III,True,323,1172,orgao_julgador
243,Plantão Diurno Cível e Criminal Região IV,True,324,1173,orgao_julgador
243,Plantão Diurno Cível e Criminal Região V,True,325,1174,orgao_julgador
243,Plantão Diurno Cível e Criminal Região VI,True,326,1175,orgao_julgador
243,Plantão Diurno Cível e Criminal Região VII,True,327,1176,orgao_julgador
243,Plantão Diurno Cível e Criminal Região VIII,True,328,1177,orgao_julgador
243,Plantão Diurno Cível e Criminal Região IX,True,329,1178,orgao_julgador
243,Plantão Diurno Cível e Criminal Região X,True,330,1179,orgao_julgador
244,Plantão Noturno Cível e Criminal,True,331,1180,orgao_julgador
241,19º Vara Cível da Comarca de Natal - DPVAT (Inativo),False,332,1181,orgao_julgador
241,19º Vara Cível da Comarca de Natal - Execução de Título Extrajudicial (Inativo),False,333,1182,orgao_julgador
241,19º Vara Cível da Comarca de Natal - Falência e Meio Ambiente (Inativo),False,334,1183,orgao_julgador
241,20º Vara Cível da Comarca de Natal - DPVAT (Inativo),False,335,1184,orgao_julgador
241,20º Vara Cível da Comarca de Natal - Execução de Título Extrajudicial (Inativo),False,336,1185,orgao_julgador
241,20º Vara Cível da Comarca de Natal - Precatória e Ordem (Inativo),False,337,1186,orgao_julgador
241,23º Vara Cível da Comarca de Natal - DPVAT (Inativo),False,338,1187,orgao_julgador
241,23º Vara Cível da Comarca de Natal - Execução de Título Extrajudicial (Inativo),False,339,1188,orgao_julgador
241,23º Vara Cível da Comarca de Natal - Falência e Meio Ambiente (Inativo),False,340,1189,orgao_julgador
241,23º Vara Cível da Comarca de Natal - Precatória e Ordem (Inativo),False,341,1190,orgao_julgador
241,24º Vara Cível da Comarca de Natal - Execução de Título Extrajudicial (Inativo),False,343,1191,orgao_julgador
241,24º Vara Cível da Comarca de Natal - Falência e Meio Ambiente (Inativo),False,344,1192,orgao_julgador
241,24º Vara Cível da Comarca de Natal - Precatória e Ordem (Inativo),False,345,1193,orgao_julgador
241,25º Vara Cível da Comarca de Natal - DPVAT (Inativo),False,346,1194,orgao_julgador
241,25º Vara Cível da Comarca de Natal - Falência e Meio Ambiente (Inativo),False,347,1195,orgao_julgador
241,25º Vara Cível da Comarca de Natal - Precatória e Ordem (Inativo),False,348,1196,orgao_julgador
241,19º Vara Cível da Comarca de Natal - Precatória e Ordem (Inativo),False,349,1197,orgao_julgador
241,Programa Prãtico 1º Grau,False,350,1198,orgao_julgador
241,20º Vara Cível da Comarca de Natal - Falência e Meio Ambiente (Inativo),False,351,1199,orgao_julgador
241,24º Vara Cível da Comarca de Natal - DPVAT (Inativo),False,352,1200,orgao_julgador
